,x0_ACURA,x0_ASTON MARTIN,x0_AUDI,x0_BENTLEY,x0_BMW,x0_BUICK,x0_CADILLAC,x0_CHEVROLET,x0_CHRYSLER,x0_DODGE,x0_FERRARI,x0_FORD,x0_GMC,x0_HONDA,x0_HUMMER,x0_HYUNDAI,x0_INFINITI,x0_JAGUAR,x0_JEEP,x0_KIA,x0_LAND ROVER,x0_LEXUS,x0_LINCOLN,x0_MASERATI,x0_MAZDA,x0_MERCEDES-BENZ,x0_MITSUBISHI,x0_NISSAN,x0_PONTIAC,x0_PORSCHE,x0_SATURN,x0_SCION,x0_SUBARU,x0_SUZUKI,x0_TESLA,x0_TOYOTA,x0_VOLKSWAGEN,x0_VOLVO,x1_Cabriolet,x1_Coupe,x1_Goods wagon,x1_Hatchback,x1_Jeep,x1_Microbus,x1_Minivan,x1_Pickup,x1_Sedan,x1_Universal,x2_CNG,x2_Diesel,x2_Hybrid,x2_LPG,x2_Petrol,x2_Plug-in Hybrid,x3_Automatic,x3_Manual,x3_Tiptronic,x3_Variator,x4_4x4,x4_Front,x4_Rear,x5_Beige,x5_Black,x5_Blue,x5_Brown,x5_Carnelian red,x5_Golden,x5_Green,x5_Grey,x5_Orange,x5_Pink,x5_Purple,x5_Red,x5_Silver,x5_Sky blue,x5_White,x5_Yellow,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Price
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155376656,0.865498611,-0.729307834,1.411612274,1.331523193,25089
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.893812707,-0.305374359,-1.123801115,-0.420490361,1.331523193,10192
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.79836755,-0.773723547,-1.453609636,-2.252592995,-0.13588214,8500
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.059931498,-0.305374359,0.802758409,-0.420490361,-1.603287472,18817
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.429149524,0.865498611,0.814896663,1.411612274,0.353252971,21012
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.429149524,0.631324017,0.390057746,1.411612274,-0.13588214,13485
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.059931498,0.865498611,-0.267520069,1.411612274,1.331523193,2901
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78615863,0.162974829,-0.672209484,-0.420490361,1.331523193,3607
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.78615863,0.162974829,-0.386790561,-0.420490361,0.353252971,16465
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78615863,1.568022393,0.019865251,1.411612274,1.331523193,3293
